trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-108.83073029587962,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-74.18356995055548,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-134.55112509972778,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-147.49427453069472,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-69.59748614451293,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-208.0379753527685,"{0: 20, 1: 5, 2: 5, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-6.2757260165121975,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,2,-31.37807960440448,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-37.412686968791405,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-3.8520376028477648,"{0: 29, 1: 4, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,16,12.235045075949332,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-24.721295519575683,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-54.254534124741895,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-7.694753865390929,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,13,13.810645167529728,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,8,18.105221446191464,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,8.103901009751938,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,6.867916432887589,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,9.67689184633277,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-10.979757459885612,"{0: 24, 1: 5, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,3,32.36861067668276,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,7,17.365042613040654,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,11.453426705481581,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,13,14.607581142457391,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,16.46039812977972,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,42.7957782934014,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,27.870527716036307,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,13,16.306047511824026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,38.14219752190157,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,7,11.458618169538425,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
