trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.66, 'e': 0.99}",25,0,-154.95904198384824,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.66, 'e': 0.98}",30,0,-152.52027786214165,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.66, 'e': 0.97}",25,0,-78.12041342711414,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
4,False,"{'a': 0.66, 'e': 0.96}",20,0,-184.24549048276225,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.66, 'e': 0.95}",25,0,-141.4778981219377,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.66, 'e': 0.94}",20,0,-34.52233077778807,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.66, 'e': 0.9299999999999999}",20,0,-32.01157506803131,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.66, 'e': 0.9199999999999999}",20,0,-137.73870821674134,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.66, 'e': 0.9099999999999999}",20,0,-90.33882192987781,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.66, 'e': 0.8999999999999999}",20,0,-230.1744844633593,"{0: 6, 1: 2, 2: 7, 3: 2, 4: 3}",0
11,False,"{'a': 0.66, 'e': 0.8899999999999999}",25,17,-5.52754700703031,"{0: 5, 1: 3, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.66, 'e': 0.8799999999999999}",20,0,-27.357487486829967,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.66, 'e': 0.8699999999999999}",20,0,-108.2254519942529,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.66, 'e': 0.8599999999999999}",20,0,-112.54662032024926,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
